KEY,VALUE
<3,💘
aheart,💘
<br>,\n
mtfbwy,May the Force be with you
m4bwy,May the 4th Be With You
hh,🕎 Happy Hanukkah 🕎
hbd,"♫♪ Happy Birthday, {Nickname} ♫♪"
kaa,🗡🪓💘
infy,∞
dgr,°
Mazel tov!,Mazel tov מזל טוב
\n,"
"
